table_schema;table_name;column_name;origin_column;primary_key;index;description;ref_geom_table_schema;ref_geom_table_name;geom_join_on;coordinates_ifproj;condition
sas;analyses_pc_naiades_1340;heureprel;HeurePrel;FALSE;FALSE;Heure du début du prélèvement d’échantillon;;;;;
sas;analyses_pc_naiades_1340;cdparametre;CdParametre;FALSE;TRUE;Code du paramètre de l'analyse;;;;;1340
sas;analyses_pc_naiades_1340;lblongparametre;LbLongParamÃ¨tre;FALSE;TRUE;Libellé long du paramètre de l’analyse;;;;;
sas;analyses_pc_naiades_1340;rsana;RsAna;FALSE;FALSE;"Résultat de l’analyse physico-chimique et
microbiologique";;;;;
sas;analyses_pc_naiades_1340;symunitemesure;SymUniteMesure;FALSE;FALSE;Symbole de l’unité de mesure;;;;;
sas;analyses_pc_naiades_1340;mnemorqana;MnemoRqAna;FALSE;FALSE;"Mnémonique du code remarque de l'analyse
physico-chimique et microbiologique";;;;;
sas;analyses_pc_naiades_1340;ldana;LdAna;FALSE;FALSE;Limite de détection;;;;;
sas;analyses_pc_naiades_1340;lqana;LqAna;FALSE;FALSE;Limite de quantification;;;;;
sas;analyses_pc_naiades_1340;lsana;LsAna;FALSE;FALSE;Limite de saturation;;;;;
sas;analyses_pc_naiades_1340;incertana;IncertAna;FALSE;FALSE;Incertitude analytique;;;;;
sas;analyses_pc_naiades_1340;nommetfractionnement;NomMetFractionnement;FALSE;FALSE;Nom de la méthode de Fractionnement;;;;;
sas;analyses_pc_naiades_1340;nommethode;NomMethode;FALSE;FALSE;"Nom de la méthode de l’analyse physico-chimique
et microbiologique";;;;;
sas;analyses_pc_naiades_1340;lbqualana;LbQualAna;FALSE;FALSE;"Libellé de la qualification de l’acquisition du
résultat de l’analyse physico-chimique et
microbiologique";;;;;
sas;analyses_pc_naiades_1340;nomrdd;NomRdd;FALSE;FALSE;Nom du dispositif de collecte de l’analyse;;;;;
sas;analyses_pc_naiades_1340;nomproducteur;NomProducteur;FALSE;FALSE;"Nom de l’intervenant producteur de l’analyse
Note : précision sur la notion de producteur à
venir dans le Sandre. Le producteur représente le
maître d’ouvrage, ou le commanditaire de la
donnée et prend la responsabilité d’accepter la
donnée";;;;;
sas;zones_hydro_carthage;cdzonehydr;CdZoneHydr;FALSE;TRUE;Code de zone hydrographique de surface;;;;;
sas;zones_hydro_carthage;lbzonehydr;LbZoneHydr;FALSE;TRUE;Zone hydrographique;;;;;
sas;zones_hydro_carthage;cdentitehy;CdEntiteHy;FALSE;TRUE;Entité hydrographique;;;;;
sas;zones_hydro_carthage;lbsoussect;LbSousSect;FALSE;TRUE;Sous secteur hydrographique;;;;;
sas;zones_hydro_carthage;lbsecteurh;LbSecteurH;FALSE;TRUE;Secteur hydrographique;;;;;
sas;zones_hydro_carthage;lbregionhy;LbRegionHy;FALSE;TRUE;Région hydrographique;;;;;
sas;analyses_pc_naiades_1339;cdstationmesureeauxsurface;CdStationMesureEauxSurface;FALSE;TRUE;"Code de la station de mesure: Identifiant de la
station de mesure dans le référentiel national
Sandre
Champ permettant d’effectuer une jointure
avec le fichier stations et opérations";sas;stations_naiades;cdstationmesureeauxsurface;;
sas;analyses_pc_naiades_1339;lbstationmesureeauxsurface;LbStationMesureEauxSurface;FALSE;FALSE;Libellé national de la station de mesure;;;;;
sas;analyses_pc_naiades_1339;lbsupport;LbSupport;FALSE;FALSE;Nom du support;;;;;
sas;analyses_pc_naiades_1339;lbfractionanalysee;LbFractionAnalysee;FALSE;FALSE;Nom de la fraction analysée;;;;;
sas;analyses_pc_naiades_1339;dateprel;DatePrel;FALSE;TRUE;"Date du début du prélèvement d’échantillons
Champ permettant une jointure avec le fichier
conditions environnementales";;;;;
sas;analyses_pc_naiades_1339;heureprel;HeurePrel;FALSE;FALSE;Heure du début du prélèvement d’échantillon;;;;;
sas;analyses_pc_naiades_1339;cdparametre;CdParametre;FALSE;TRUE;Code du paramètre de l'analyse;;;;;1339
sas;analyses_pc_naiades_1339;lblongparametre;LbLongParamÃ¨tre;FALSE;TRUE;Libellé long du paramètre de l’analyse;;;;;
sas;analyses_pc_naiades_1339;rsana;RsAna;FALSE;FALSE;"Résultat de l’analyse physico-chimique et
microbiologique";;;;;
sas;analyses_pc_naiades_1339;symunitemesure;SymUniteMesure;FALSE;FALSE;Symbole de l’unité de mesure;;;;;
sas;analyses_pc_naiades_1339;mnemorqana;MnemoRqAna;FALSE;FALSE;"Mnémonique du code remarque de l'analyse
physico-chimique et microbiologique";;;;;
sas;analyses_pc_naiades_1339;ldana;LdAna;FALSE;FALSE;Limite de détection;;;;;
sas;analyses_pc_naiades_1339;lqana;LqAna;FALSE;FALSE;Limite de quantification;;;;;
